  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1007, PROGRAMACAO II ,ANA LUCIA DE MOURA,4,33L,QQC,0,I,SEG 15-17 L314 / GAVEA  QUA 15-17 L481 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,ROGERIO FERREIRA RODRIGUES,4,33M,QQC,0,I,SEG 07-09 L270 / GAVEA  QUA 07-09 L258 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,JOISA DE SOUZA OLIVEIRA,4,33N,QQC,0,I,SEG 07-09 L504 / GAVEA  QUA 07-09 L546 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,HORISTA A CONTRATAR,4,33O,QQC,0,I,SEG 13-15 L452 / GAVEA  QUA 13-15 L252 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,HORISTA A CONTRATAR,4,33P,QQC,0,I,SEG 11-13 L270 / GAVEA  QUA 11-13 L270 / GAVEA  ,0,0, SIM ,UCB
INF1008, INTROD ARQ DE COMPUTADORES ,LUIZ FERNANDO BESSA SEIBEL,2,3WB,CCI,2,I,SEX 15-17 L150 / GAVEA  ,0,0,NÃO,INF
INF1008, INTROD ARQ DE COMPUTADORES ,LUIZ FERNANDO BESSA SEIBEL,2,3WA,QQC,0,I,SEX 13-15 L150 / GAVEA  ,0,0,NÃO,INF
INF1008, INTROD ARQ DE COMPUTADORES ,LUIZ FERNANDO BESSA SEIBEL,2,3WB,QQC,0,I,SEX 15-17 L150 / GAVEA  ,0,0,NÃO,INF
INF1009, LOGICA PARA COMPUTACAO ,BRUNO LOPES VIEIRA,4,3WA,QQC,0,I,TER 13-15 L150 / GAVEA  QUI 13-15 L150 / GAVEA  ,0,0,NÃO,INF
INF1009, LOGICA PARA COMPUTACAO ,TEMPO CONTINUO A DEFINIR,4,3WB,QQC,0,I,TER 13-15 L774 / GAVEA  QUI 13-15 L774 / GAVEA  ,0,0,NÃO,INF
INF1010, ESTRUTURAS DE DADOS AVANCADAS ,MARCO ANTONIO CASANOVA,4,3WA,QQC,2,I,SEG 15-17 L504 / GAVEA  QUA 15-17 L504 / GAVEA  ,0,0, SIM ,INF
INF1010, ESTRUTURAS DE DADOS AVANCADAS ,WALDEMAR CELES FILHO,4,3WB,QQC,17,I,SEG 17-19 L504 / GAVEA  QUA 17-19 L504 / GAVEA  ,0,0, SIM ,INF
INF1011, SEMANTICA DE LINGUAGENS ,ROBERTO IERUSALIMSCHY,4,3WA,QQC,14,I,TER 13-15 L524 / GAVEA  QUI 13-15 L524 / GAVEA  ,0,0, SIM ,INF
